project	grant	lab	composite	dataType	view	cell	treatment	antibody	protocol	replicate	dataVersion	dccAccession	dateSubmitted	dateUnrestricted	subId	setType	controlId	labExpId	type	md5sum	size	geoSampleAccession	softwareVersion	tableName	dateResubmitted	origAssembly	labVersion	objStatus	submittedDataVersion	filename
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Alignments	A549	EtOH_0.02pct	BCL3	v042211.1	1	ENCODE Mar 2012 Freeze	wgEncodeEH002303	2011-09-12	2012-06-12	4785	exp	SL6021	SL6596	bai	a11b316e0de80564d32dddf13637f220	6.2M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Bcl3V0422111Etoh02AlnRep1.bam.bai
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Alignments	A549	EtOH_0.02pct	BCL3	v042211.1	2	ENCODE Mar 2012 Freeze	wgEncodeEH002303	2011-09-12	2012-06-12	4785	exp	SL6021	SL7109	bam	aa87c6f179244f41e9d8ad2629c1ebcb	1.8G	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Bcl3V0422111Etoh02AlnRep2.bam
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Alignments	A549	EtOH_0.02pct	BCL3	v042211.1	2	ENCODE Mar 2012 Freeze	wgEncodeEH002303	2011-09-12	2012-06-12	4785	exp	SL6021	SL7109	bai	1179515783eb9d23dd1b05acb2a58bef	6.5M	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Bcl3V0422111Etoh02AlnRep2.bam.bai
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Peaks	A549	EtOH_0.02pct	BCL3	v042211.1	1	ENCODE Mar 2012 Freeze	wgEncodeEH002303	2011-09-12	2012-06-12	4785	exp	SL6021	SL6596	broadPeak	45f9bfead1110a47336c763713859fd3	224K	GSM1010775	MACS	wgEncodeHaibTfbsA549Bcl3V0422111Etoh02PkRep1	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Bcl3V0422111Etoh02PkRep1.broadPeak.gz
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Peaks	A549	EtOH_0.02pct	BCL3	v042211.1	2	ENCODE Mar 2012 Freeze	wgEncodeEH002303	2011-09-12	2012-06-12	4785	exp	SL6021	SL7109	broadPeak	196865102c9602729f763c5c4e7fcd78	235K	GSM1010775	MACS	wgEncodeHaibTfbsA549Bcl3V0422111Etoh02PkRep2	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Bcl3V0422111Etoh02PkRep2.broadPeak.gz
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	RawData	A549	EtOH_0.02pct	BCL3	v042211.1	1	ENCODE Mar 2012 Freeze	wgEncodeEH002303	2011-09-12	2012-06-12	4785	exp	SL6021	SL6596	fastq	1dd8d2c1e84ee0ea458b6bb8c4f0f259	1.8G	GSM1010775	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Bcl3V0422111Etoh02RawDataRep1.fastq.gz
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	RawData	A549	EtOH_0.02pct	BCL3	v042211.1	2	ENCODE Mar 2012 Freeze	wgEncodeEH002303	2011-09-12	2012-06-12	4785	exp	SL6021	SL7109	fastq	bd2a0e44be0d2a2c68f7287a384915b5	1.8G	GSM1010775	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Bcl3V0422111Etoh02RawDataRep2.fastq.gz
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	RawSignal	A549	EtOH_0.02pct	BCL3	v042211.1	1	ENCODE Mar 2012 Freeze	wgEncodeEH002303	2011-09-12	2012-06-12	4785	exp	SL6021	SL6596	bigWig	d8885d156304ed9145d23089f48303b9	18M	GSM1010775	NA	wgEncodeHaibTfbsA549Bcl3V0422111Etoh02RawRep1	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Bcl3V0422111Etoh02RawRep1.bigWig
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	RawSignal	A549	EtOH_0.02pct	BCL3	v042211.1	2	ENCODE Mar 2012 Freeze	wgEncodeEH002303	2011-09-12	2012-06-12	4785	exp	SL6021	SL7109	bigWig	25821c3c4d51a44d8e8989f251a2a846	17M	GSM1010775	NA	wgEncodeHaibTfbsA549Bcl3V0422111Etoh02RawRep2	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Bcl3V0422111Etoh02RawRep2.bigWig
wgEncode	Myers	HudsonAlpha	wgEncodeHaibTfbs	ChipSeq	Alignments	A549	None	CEBPB_(SC-150)	v042211.1	1	ENCODE Jul 2012 Freeze	wgEncodeEH003271	2012-07-29	2013-04-29	7694	exp	SL13321	SL12637	bam	12a1364936adaafad3a8adcba9edc487	1.5G	NA	NA	NA	NA	NA	NA	NA	NA	wgEncodeHaibTfbsA549Cebpbsc150V0422111AlnRep1.bam
